dom_ID	model	var_phi	var_nu	var_all
A0A2R8Y422_PF00240_2	1	0.6702107331587378	0	0.6702107331587378
A0A2R8Y422_PF00240_2	2	0.6645593856637738	0.00386480889156382	0.6684241945553376
A0A2R8Y422_PF00240_2	3	0.6648836964492557	0.00373965867266762	0.6686233551219233
A0PJY2_PF00096_289	1	0.6474830751530182	0	0.6474830751530182
A0PJY2_PF00096_289	2	0.6486975214945088	0.02078569380621862	0.6694832153007274
A0PJY2_PF00096_289	3	0.6475758524032341	0.01478307420632412	0.6623589266095582
A1X283_PF00018_155	1	0.5763766901882288	0	0.5763766901882288
A1X283_PF00018_155	2	0.5644568191406225	0.03430784047147126	0.5987646596120938
A1X283_PF00018_155	3	0.5658783292644132	0.05196713254587024	0.6178454618102834
A1X283_PF00018_222	1	0.649847861148624	0	0.649847861148624
A1X283_PF00018_222	2	0.6509352818770993	0.00837539098699585	0.6593106728640951
A1X283_PF00018_222	3	0.6526513038441933	0.01108919836354406	0.6637405022077374
A2RRE5_PF01846_267	1	0.5970430238838607	0	0.5970430238838607
A2RRE5_PF01846_267	2	0.5838920082902235	0.08702277120179856	0.670914779492022
A2RRE5_PF01846_267	3	0.5804197375773701	0.09234490978520424	0.6727646473625744
A6NK59_PF07525_532	1	0.5704221927003761	0	0.5704221927003761
A6NK59_PF07525_532	2	0.5743057451163044	0.01383941632443142	0.5881451614407358
A6NK59_PF07525_532	3	0.5829721741021371	0.02917688605061061	0.6121490601527477
EEHEE-rd3-0037_rockdoms_1	1	0.7153910487679637	0	0.7153910487679637
EEHEE-rd3-0037_rockdoms_1	2	0.7100877047401826	0.01680725603108742	0.72689496077127
EEHEE-rd3-0037_rockdoms_1	3	0.7126217755066233	0.01535991001738603	0.7279816855240093
EHEE-rd1-0882_rockdoms_1	1	0.7863947299994376	0	0.7863947299994376
EHEE-rd1-0882_rockdoms_1	2	0.7885408937836818	0.00612654950689356	0.7946674432905753
EHEE-rd1-0882_rockdoms_1	3	0.7886070460519674	0.0056180650980208	0.7942251111499882
HHH-rd1-0142_rockdoms_1	1	0.842170802754019	0	0.842170802754019
HHH-rd1-0142_rockdoms_1	2	0.8439127172561699	0.00798667617098857	0.8518993934271585
HHH-rd1-0142_rockdoms_1	3	0.84395580625093	0.00804915310856013	0.8520049593594902
O00308_PF00397_440	1	0.7530028386683529	0	0.7530028386683529
O00308_PF00397_440	2	0.7511869295951962	0.00955930309150775	0.7607462326867039
O00308_PF00397_440	3	0.7518510656188897	0.01258495053229771	0.7644360161511874
O00330_PF02817_181	1	0.5640376179904703	0	0.5640376179904703
O00330_PF02817_181	2	0.5628439290331572	0.0789735123447945	0.6418174413779516
O00330_PF02817_181	3	0.5649505359746096	0.08594547467945068	0.6508960106540603
O14529_PF02376_1036	1	0.6547811783706674	0	0.6547811783706674
O14529_PF02376_1036	2	0.6373449466950543	0.04931325453740008	0.6866582012324544
O14529_PF02376_1036	3	0.6329968558407149	0.07329772838552664	0.7062945842262415
O14529_PF02376_895	1	0.7399080045773427	0	0.7399080045773427
O14529_PF02376_895	2	0.7300254466499692	0.02231298400819496	0.7523384306581641
O14529_PF02376_895	3	0.7264808097022402	0.02712083406506763	0.7536016437673078
O14640_PF00595_246	1	0.6037584923242916	0	0.6037584923242916
O14640_PF00595_246	2	0.5977196641917525	0.04728594815624844	0.6450056123480009
O14640_PF00595_246	3	0.5983197229316872	0.07465436187314106	0.6729740848048282
O14640_PF00778_4	1	0.6050318930516473	0	0.6050318930516473
O14640_PF00778_4	2	0.5941635145153031	0.04870142310858576	0.6428649376238889
O14640_PF00778_4	3	0.6026843894611634	0.06680735529915689	0.6694917447603204
O14776_PF01846_645	1	0.6751056472563616	0	0.6751056472563616
O14776_PF01846_645	2	0.6749850740451021	0.01138904785390989	0.686374121899012
O14776_PF01846_645	3	0.676570362587353	0.03254499636818523	0.7091153589555382
O14776_PF01846_727	1	0.7911792393423673	0	0.7911792393423673
O14776_PF01846_727	2	0.7687333771239347	0.03181642120227958	0.8005497983262143
O14776_PF01846_727	3	0.7688731015978907	0.03157252687797719	0.8004456284758679
O14776_PF01846_793	1	0.752538926659232	0	0.752538926659232
O14776_PF01846_793	2	0.740091585196226	0.01907378300915674	0.7591653682053827
O14776_PF01846_793	3	0.7359378698982757	0.02740468273697723	0.763342552635253
O14776_PF01846_897	1	0.6738213698191435	0	0.6738213698191435
O14776_PF01846_897	2	0.6451533920667908	0.06001424614735291	0.7051676382141437
O14776_PF01846_897	3	0.6466353155872232	0.05763872305922661	0.7042740386464498
O14776_PF01846_955	1	0.5074311524597179	0	0.5074311524597179
O14776_PF01846_955	2	0.501380758714513	0.04124604707716714	0.5426268057916802
O14776_PF01846_955	3	0.5031675770359936	0.03474045831187455	0.5379080353478681
O14813_PF00046_92	1	0.6652864692345085	0	0.6652864692345085
O14813_PF00046_92	2	0.6568662396730268	0.03627586508982648	0.6931421047628533
O14813_PF00046_92	3	0.6547098253443483	0.04709544006360972	0.7018052654079581
O14901_PF00096_395	1	0.6565042724360932	0	0.6565042724360932
O14901_PF00096_395	2	0.6385971851919034	0.01932808711257305	0.6579252723044765
O14901_PF00096_395	3	0.6399499249492169	0.01386241998172773	0.6538123449309446
O14936_PF00595_488	1	0.5697366407164235	0	0.5697366407164235
O14936_PF00595_488	2	0.5595357507810321	0.0322435098386535	0.5917792606196857
O14936_PF00595_488	3	0.5509423492343782	0.09329947908505354	0.6442418283194318
O15151_PF00641_299	1	0.823754314451721	0	0.823754314451721
O15151_PF00641_299	2	0.8006390540362344	0.01028942071721284	0.8109284747534472
O15151_PF00641_299	3	0.8035230298634009	0.00810648640333651	0.8116295162667374
O15259_PF00018_152	1	0.6069884155981065	0	0.6069884155981065
O15259_PF00018_152	2	0.6127800698899085	0.00570491414674996	0.6184849840366585
O15259_PF00018_152	3	0.6117792608166903	0.00810131342765216	0.6198805742443425
O15265_PF08313_334	1	0.8300736522354023	0	0.8300736522354023
O15265_PF08313_334	2	0.814583638504061	0.00618860957396133	0.8207722480780223
O15265_PF08313_334	3	0.8141688190726919	0.0078288696581813	0.8219976887308732
O15266_PF00046_119	1	0.6117686474349823	0	0.6117686474349823
O15266_PF00046_119	2	0.5813496923433256	0.08725916479340891	0.6686088571367345
O15266_PF00046_119	3	0.5759061676970245	0.0854893147900366	0.6613954824870611
O15344_PF00643_172	1	0.7254494807084673	0	0.7254494807084673
O15344_PF00643_172	2	0.7213051561784123	0.01954323806737522	0.7408483942457875
O15344_PF00643_172	3	0.7129572927604229	0.02157725054115581	0.7345345433015786
O15350_PF07647_487	1	0.5931539516252508	0	0.5931539516252508
O15350_PF07647_487	2	0.5797243619357039	0.04755212102093535	0.6272764829566392
O15350_PF07647_487	3	0.5691549744010443	0.14330351377577544	0.7124584881768198
O15405_PF00505_256	1	0.6128940158295256	0	0.6128940158295256
O15405_PF00505_256	2	0.5979735338765603	0.06254209244059436	0.6605156263171547
O15405_PF00505_256	3	0.584531687204576	0.08104157056762833	0.6655732577722043
O15541_PF00642_198	1	0.6166675746250412	0	0.6166675746250412
O15541_PF00642_198	2	0.599440040504741	0.01844652225430624	0.6178865627590472
